"Step","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_2 - charts/episodic_game_return","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_2 - charts/episodic_game_return__MIN","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_2 - charts/episodic_game_return__MAX","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_514 - charts/episodic_game_return","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_514 - charts/episodic_game_return__MIN","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_514 - charts/episodic_game_return__MAX","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_1520 - charts/episodic_game_return","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_1520 - charts/episodic_game_return__MIN","donkeykong_softmax_blender_logic_lr_0.00025_llr_0.00025_blr_0.00025_gamma_0.99_bentcoef_0.01_numenvs_512_steps_128_pretrained_False_joint_True_1520 - charts/episodic_game_return__MAX"
"60","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"61","0","0","0","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"62","0","0","0","0","0","0","0","0","0"
"63","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.800000011920929","0.800000011920929","0.800000011920929"
"64","0","0","0","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"65","0","0","0","0","0","0","0","0","0"
"66","0.800000011920929","0.800000011920929","0.800000011920929","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"67","0","0","0","0","0","0","0","0","0"
"68","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0","","",""
"69","0","0","0","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929"
"70","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"71","0","0","0","0","0","0","0","0","0"
"72","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"73","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"74","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0"
"75","0.10000000149011612","0.10000000149011612","0.10000000149011612","","","","0.800000011920929","0.800000011920929","0.800000011920929"
"76","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0"
"77","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0"
"78","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"79","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.9000000357627869","0.9000000357627869","0.9000000357627869","0","0","0"
"80","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"81","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"82","0","0","0","0","0","0","0","0","0"
"83","0","0","0","0","0","0","0","0","0"
"84","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"85","0","0","0","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"86","0.9000000357627869","0.9000000357627869","0.9000000357627869","0","0","0","0","0","0"
"87","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"88","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"89","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0","0","0","0"
"90","0","0","0","0.9000000357627869","0.9000000357627869","0.9000000357627869","0","0","0"
"91","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"92","0","0","0","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"93","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"94","0","0","0","0","0","0","0","0","0"
"95","0","0","0","0","0","0","0","0","0"
"96","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"97","0","0","0","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929"
"98","0","0","0","0","0","0","0","0","0"
"99","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0","0","0","0"
"100","0","0","0","0","0","0","1.100000023841858","1.100000023841858","1.100000023841858"
"101","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"102","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0"
"103","0","0","0","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"104","0.9000000357627869","0.9000000357627869","0.9000000357627869","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929","0.800000011920929"
"105","0","0","0","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224"
"106","0","0","0","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"107","0","0","0","0.9000000357627869","0.9000000357627869","0.9000000357627869","0.800000011920929","0.800000011920929","0.800000011920929"
"108","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"109","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0"
"110","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0"
"111","0","0","0","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"112","0","0","0","0.9000000357627869","0.9000000357627869","0.9000000357627869","0.800000011920929","0.800000011920929","0.800000011920929"
"113","0","0","0","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"114","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.800000011920929","0.800000011920929","0.800000011920929"
"115","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0","0","0","0"
"116","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"117","0","0","0","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929"
"118","0","0","0","1","1","1","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"119","0","0","0","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929"
"120","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"121","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"122","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"123","1.600000023841858","1.600000023841858","1.600000023841858","0","0","0","","",""
"124","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"125","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"126","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"127","0","0","0","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"128","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.800000011920929","0.800000011920929","0.800000011920929","0","0","0"
"129","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0"
"130","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"131","0","0","0","0","0","0","0","0","0"
"132","0.9000000357627869","0.9000000357627869","0.9000000357627869","","","","0","0","0"
"133","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"134","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929"
"135","0","0","0","0","0","0","0","0","0"
"136","0","0","0","0","0","0","0.9000000357627869","0.9000000357627869","0.9000000357627869"
"137","0","0","0","0","0","0","0","0","0"
"138","0.9000000357627869","0.9000000357627869","0.9000000357627869","0","0","0","0.9000000357627869","0.9000000357627869","0.9000000357627869"
"139","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"140","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0","0","0","0"
"141","","","","0","0","0","0","0","0"
"142","0","0","0","0","0","0","0.800000011920929","0.800000011920929","0.800000011920929"
"143","0.800000011920929","0.800000011920929","0.800000011920929","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"144","0","0","0","0","0","0","0","0","0"
"145","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0.800000011920929","0.800000011920929","0.800000011920929"
"146","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.10000000149011612","1.7000000476837158","1.7000000476837158","1.7000000476837158"
"147","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0","0","0","0"
"148","0.800000011920929","0.800000011920929","0.800000011920929","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"149","0","0","0","0.20000000298023224","0.20000000298023224","0.20000000298023224","0","0","0"
"150","0","0","0","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612"
"151","0","0","0","0.10000000149011612","0.10000000149011612","0.10000000149011612","0","0","0"
"152","0","0","0","0","0","0","0","0","0"
